NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
3,20,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,1,-7451.670985,-7451.670985,6.679685,-7429.872016,Still in CN Loop
3,21,11,-7448.968609,2.702375,0.000032,-7429.872016,Still in CN Loop
3,21,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,31,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,21,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,1,-7464.810671,-7464.810671,6.588117,-7429.872016,Still in CN Loop
3,22,11,-7448.968609,15.842062,0.000059,-7429.872016,Still in CN Loop
3,22,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,31,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,22,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,1,-7429.872016,-7429.872016,6.855603,-7429.872016,Still in CN Loop
3,23,11,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,23,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,1,-7432.456105,-7432.456105,6.717845,-7429.872016,Still in CN Loop
3,24,11,-7429.872016,2.584090,0.000000,-7429.872016,Still in CN Loop
3,24,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,24,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,1,-7501.947047,-7501.947047,6.491297,-7429.872016,Still in CN Loop
3,25,11,-7494.915471,7.031576,0.193311,-7429.872016,Still in CN Loop
3,25,21,-7464.525833,30.389638,0.000000,-7429.872016,Still in CN Loop
3,25,31,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,41,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,47,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,48,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,49,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,25,50,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,1,-7434.577266,-7434.577266,6.810925,-7429.872016,Still in CN Loop
3,26,11,-7429.872016,4.705250,0.000000,-7429.872016,Still in CN Loop
3,26,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,26,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,1,-7449.047767,-7449.047767,6.800213,-7429.872016,Still in CN Loop
3,27,11,-7448.968609,0.079158,0.000009,-7429.872016,Still in CN Loop
3,27,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,31,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,27,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,1,-7514.371151,-7514.371151,6.773038,-7429.872016,Still in CN Loop
